x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-18.75000E-03,+13.04962E-03,-6.00463279E+00,-8.02450E-03,+13.10340777E+00
-18.72500E-03,+13.04962E-03,-6.14533663E+00,-8.02450E-03,+13.08029208E+00
-18.70000E-03,+13.04962E-03,-6.32372859E+00,-8.02450E-03,+13.06973932E+00
-18.67500E-03,+13.04962E-03,-6.46995943E+00,-8.02450E-03,+13.05918655E+00
-18.65000E-03,+13.04962E-03,-6.65890427E+00,-8.02450E-03,+13.05315651E+00
-18.62500E-03,+13.04962E-03,-6.84131633E+00,-8.02450E-03,+13.03808102E+00
-18.60000E-03,+13.04962E-03,-7.02322577E+00,-8.02450E-03,+13.01546807E+00
-18.57500E-03,+13.04962E-03,-7.17799997E+00,-8.02450E-03,+12.99184987E+00
-18.55000E-03,+13.04962E-03,-7.33126631E+00,-8.02450E-03,+12.96521681E+00
-18.52500E-03,+13.04962E-03,-7.48302489E+00,-8.02450E-03,+12.93305590E+00
-18.50000E-03,+12.74812E-03,-7.66041171E+00,-8.02450E-03,+12.90994032E+00
-18.47500E-03,+13.04962E-03,-7.84483383E+00,-8.02450E-03,+12.88983992E+00
-18.45000E-03,+13.04962E-03,-7.99357778E+00,-8.02450E-03,+12.87627197E+00
-18.42500E-03,+13.04962E-03,-8.14885416E+00,-8.02450E-03,+12.86471430E+00
-18.40000E-03,+13.04962E-03,-8.29458269E+00,-8.02450E-03,+12.85215148E+00
-18.37500E-03,+13.04962E-03,-8.44433133E+00,-8.02450E-03,+12.83958867E+00
-18.35000E-03,+13.04962E-03,-8.60212051E+00,-8.02450E-03,+12.82702585E+00
-18.32500E-03,+13.04962E-03,-8.74835178E+00,-8.02450E-03,+12.80190023E+00
-18.30000E-03,+13.04962E-03,-8.87498484E+00,-8.02450E-03,+12.76421178E+00
-18.27500E-03,+13.04962E-03,-9.04382883E+00,-8.02450E-03,+12.73908615E+00
-18.25000E-03,+13.04962E-03,-9.20061287E+00,-8.02450E-03,+12.71396053E+00
-18.22500E-03,+13.04962E-03,-9.31217054E+00,-8.02450E-03,+12.68079458E+00
-18.20000E-03,+13.04962E-03,-9.45890421E+00,-8.02450E-03,+12.67024181E+00
-18.17500E-03,+13.04962E-03,-9.58453247E+00,-8.02450E-03,+12.66370927E+00
-18.15000E-03,+13.55214E-03,-9.69156765E+00,-8.02450E-03,+12.65114646E+00
-18.12500E-03,+13.04962E-03,-9.82372834E+00,-8.02450E-03,+12.63858364E+00
-18.10000E-03,+13.04962E-03,-9.90764794E+00,-8.02450E-03,+12.62602083E+00
-18.07500E-03,+13.04962E-03,-10.02925598E+00,-8.02450E-03,+12.61345801E+00
-18.05000E-03,+13.04962E-03,-10.09407998E+00,-8.02450E-03,+12.58179960E+00
-18.02500E-03,+13.04962E-03,-10.19709518E+00,-8.02450E-03,+12.54612120E+00
-18.00000E-03,+13.04962E-03,-10.26845197E+00,-8.02450E-03,+12.51295550E+00
-17.97500E-03,+13.06973E-03,-10.33980875E+00,-8.02450E-03,+12.49989005E+00
-17.95000E-03,+13.04962E-03,-10.42523576E+00,-8.02450E-03,+12.47677447E+00
-17.92500E-03,+13.04962E-03,-10.47347697E+00,-8.02450E-03,+12.47174960E+00
-17.90000E-03,+13.04962E-03,-10.53428099E+00,-8.02450E-03,+12.45566894E+00
-17.87500E-03,+13.04962E-03,-10.60764783E+00,-8.02450E-03,+12.45014143E+00
-17.85000E-03,+13.04962E-03,-10.66845185E+00,-8.02450E-03,+12.43757861E+00
-17.82500E-03,+13.04962E-03,-10.75538666E+00,-8.02450E-03,+12.42401064E+00
-17.80000E-03,+13.04962E-03,-10.85287396E+00,-8.02450E-03,+12.40089506E+00
-17.77500E-03,+13.04962E-03,-10.92322586E+00,-8.02450E-03,+12.39034230E+00
-17.75000E-03,+13.04962E-03,-11.04483390E+00,-8.02450E-03,+12.35466391E+00
-17.72500E-03,+13.04962E-03,-11.13428127E+00,-8.02450E-03,+12.33154833E+00
-17.70000E-03,+13.04962E-03,-11.27548717E+00,-8.02450E-03,+12.30843275E+00
-17.67500E-03,+12.98932E-03,-11.43478365E+00,-8.02450E-03,+12.28682484E+00
-17.65000E-03,+13.04962E-03,-11.59207064E+00,-8.52701E-03,+12.27426203E+00
-17.62500E-03,+13.04962E-03,-11.72322615E+00,-8.02450E-03,+12.26169922E+00
-17.60000E-03,+13.04962E-03,-11.87498467E+00,-8.02450E-03,+12.24913640E+00
-17.57500E-03,+13.04962E-03,-12.03377892E+00,-8.02450E-03,+12.23657359E+00
-17.55000E-03,+13.04962E-03,-12.18051273E+00,-8.02450E-03,+12.21999053E+00
-17.52500E-03,+13.04962E-03,-12.32121626E+00,-8.02450E-03,+12.19687495E+00
-17.50000E-03,+13.04962E-03,-12.47448231E+00,-8.02450E-03,+12.16119670E+00
-17.47500E-03,+13.04962E-03,-12.64433156E+00,-8.02450E-03,+12.13808098E+00
-17.45000E-03,+13.04962E-03,-12.78503522E+00,-8.02450E-03,+12.11496540E+00
-17.42500E-03,+13.04962E-03,-12.90212037E+00,-8.02450E-03,+12.08581982E+00
-17.40000E-03,+13.04962E-03,-13.06141685E+00,-8.02450E-03,+12.07325700E+00
-17.37500E-03,+12.64762E-03,-13.17800021E+00,-8.12501E-03,+12.07074429E+00
-17.35000E-03,+12.54711E-03,-13.31719575E+00,-8.02450E-03,+12.06069419E+00
-17.32500E-03,+12.98933E-03,-13.46242203E+00,-8.02450E-03,+12.04813138E+00
-17.30000E-03,+12.68781E-03,-13.60362821E+00,-8.02450E-03,+12.04813138E+00
-17.27500E-03,+13.04962E-03,-13.71418083E+00,-8.02450E-03,+12.02853324E+00
-17.25000E-03,+12.84861E-03,-13.86141672E+00,-8.02450E-03,+12.00541766E+00
-17.22500E-03,+13.04962E-03,-13.96895486E+00,-8.02450E-03,+11.98230208E+00
-17.20000E-03,+13.00942E-03,-14.08352727E+00,-8.02450E-03,+11.94762886E+00
-17.17500E-03,+12.54711E-03,-14.18000999E+00,-8.02450E-03,+11.92250323E+00
-17.15000E-03,+12.66771E-03,-14.28051220E+00,-8.02450E-03,+11.89737761E+00
-17.12500E-03,+13.04962E-03,-14.36141688E+00,-8.02450E-03,+11.87225198E+00
-17.10000E-03,+13.04962E-03,-14.46493431E+00,-8.02450E-03,+11.86672418E+00
-17.07500E-03,+13.04962E-03,-14.52573833E+00,-8.02450E-03,+11.85617142E+00
-17.05000E-03,+13.04962E-03,-14.59910517E+00,-8.46670E-03,+11.84561866E+00
-17.02500E-03,+13.04962E-03,-14.67247201E+00,-8.04459E-03,+11.83456353E+00
-17.00000E-03,+13.04962E-03,-14.73327603E+00,-8.12499E-03,+11.82200072E+00
-16.97500E-03,+12.72801E-03,-14.80664286E+00,-8.02450E-03,+11.80139755E+00
-16.95000E-03,+12.78832E-03,-14.86091438E+00,-8.26571E-03,+11.77174946E+00
-16.92500E-03,+13.04962E-03,-14.89056246E+00,-8.02450E-03,+11.74662384E+00
-16.90000E-03,+13.04962E-03,-14.93880367E+00,-8.02450E-03,+11.73205081E+00
-16.87500E-03,+12.54712E-03,-15.01217067E+00,-8.02450E-03,+11.70893523E+00
-16.85000E-03,+13.04962E-03,-15.07297453E+00,-8.10489E-03,+11.68581965E+00
-16.82500E-03,+13.04962E-03,-15.12121573E+00,-8.02450E-03,+11.67124695E+00
-16.80000E-03,+13.04962E-03,-15.20714538E+00,-8.02450E-03,+11.65868414E+00
-16.77500E-03,+12.86871E-03,-15.28051222E+00,-8.02450E-03,+11.64612132E+00
-16.75000E-03,+13.04962E-03,-15.34634170E+00,-8.02450E-03,+11.63355851E+00
-16.72500E-03,+13.04962E-03,-15.45287420E+00,-8.02450E-03,+11.62049302E+00
-16.70000E-03,+13.04962E-03,-15.51317554E+00,-8.08479E-03,+11.59587007E+00
-16.67500E-03,+13.04962E-03,-15.62071340E+00,-8.02450E-03,+11.57074444E+00
-16.65000E-03,+12.76821E-03,-15.70463300E+00,-8.02450E-03,+11.53858346E+00
-16.62500E-03,+13.04962E-03,-15.81870352E+00,-8.02450E-03,+11.51546789E+00
-16.60000E-03,+13.04962E-03,-15.90714540E+00,-8.02450E-03,+11.49235231E+00
-16.57500E-03,+13.04962E-03,-16.01920587E+00,-8.02450E-03,+11.48179954E+00
-16.55000E-03,+13.04962E-03,-16.10413032E+00,-8.02450E-03,+11.47024192E+00
-16.52500E-03,+13.04962E-03,-16.21217070E+00,-8.02450E-03,+11.45767911E+00
-16.50000E-03,+13.04962E-03,-16.30111525E+00,-8.02450E-03,+11.44511630E+00
-16.47500E-03,+13.04962E-03,-16.39810052E+00,-8.02450E-03,+11.44511630E+00
-16.45000E-03,+12.90891E-03,-16.49810018E+00,-8.02450E-03,+11.43255348E+00
-16.42500E-03,+12.60742E-03,-16.59960807E+00,-8.02450E-03,+11.41999067E+00
-16.40000E-03,+13.04962E-03,-16.70714558E+00,-8.02450E-03,+11.40742785E+00
-16.37500E-03,+13.04962E-03,-16.81116604E+00,-8.02450E-03,+11.38230222E+00
-16.35000E-03,+13.04962E-03,-16.90011041E+00,-8.02450E-03,+11.34913622E+00
-16.32500E-03,+13.04962E-03,-16.99006034E+00,-8.02450E-03,+11.31948815E+00
-16.30000E-03,+13.04962E-03,-17.08051243E+00,-8.02450E-03,+11.29838281E+00
-16.27500E-03,+13.04962E-03,-17.17699484E+00,-8.02450E-03,+11.28179971E+00
-16.25000E-03,+12.54712E-03,-17.27347726E+00,-8.02450E-03,+11.26923672E+00
-16.22500E-03,+13.04962E-03,-17.35739686E+00,-8.02450E-03,+11.25667408E+00
-16.20000E-03,+12.70791E-03,-17.44533637E+00,-8.02450E-03,+11.24813119E+00
-16.17500E-03,+13.04962E-03,-17.51870321E+00,-8.02450E-03,+11.24411127E+00
