x-axis,F1
second,Volt
-14.55000E-03,-18.55407715E+00
-14.52500E-03,-18.54187012E+00
-14.50000E-03,-18.54431130E+00
-14.47500E-03,-18.54968285E+00
-14.45000E-03,-18.54187012E+00
-14.42500E-03,-18.54187012E+00
-14.40000E-03,-18.54187012E+00
-14.37500E-03,-18.54187012E+00
-14.35000E-03,-18.54187012E+00
-14.32500E-03,-18.54187012E+00
-14.30000E-03,-18.52966309E+00
-14.27500E-03,-18.52966309E+00
-14.25000E-03,-18.53210473E+00
-14.22500E-03,-18.54187012E+00
-14.20000E-03,-18.54040551E+00
-14.17500E-03,-18.52966309E+00
-14.15000E-03,-18.52282691E+00
-14.12500E-03,-18.53454614E+00
-14.10000E-03,-18.53601026E+00
-14.07500E-03,-18.51843286E+00
-14.05000E-03,-18.51745605E+00
-14.02500E-03,-18.51745605E+00
-14.00000E-03,-18.51745605E+00
-13.97500E-03,-18.52429175E+00
-13.95000E-03,-18.51745605E+00
-13.92500E-03,-18.50563992E+00
-13.90000E-03,-18.49230932E+00
-13.87500E-03,-18.50402832E+00
-13.85000E-03,-18.49182129E+00
-13.82500E-03,-18.49816870E+00
-13.80000E-03,-18.49182129E+00
-13.77500E-03,-18.47961426E+00
-13.75000E-03,-18.47961401E+00
-13.72500E-03,-18.46740723E+00
-13.70000E-03,-18.45827609E+00
-13.67500E-03,-18.44763158E+00
-13.65000E-03,-18.43737768E+00
-13.62500E-03,-18.42712377E+00
-13.60000E-03,-18.40393066E+00
-13.57500E-03,-18.38098119E+00
-13.55000E-03,-18.35764132E+00
-13.52500E-03,-18.33483861E+00
-13.50000E-03,-18.31726074E+00
-13.47500E-03,-18.30383301E+00
-13.45000E-03,-18.28967233E+00
-13.42500E-03,-18.18234783E+00
-13.40000E-03,-18.11999486E+00
-13.37500E-03,-18.05651774E+00
-13.35000E-03,-17.93591282E+00
-13.32500E-03,-17.88439889E+00
-13.30000E-03,-17.75036568E+00
-13.27500E-03,-17.66760201E+00
-13.25000E-03,-17.51892063E+00
-13.22500E-03,-17.38434949E+00
-13.20000E-03,-17.29113716E+00
-13.17500E-03,-17.13268989E+00
-13.15000E-03,-17.00993569E+00
-13.12500E-03,-16.89025825E+00
-13.10000E-03,-16.74616615E+00
-13.07500E-03,-16.63161510E+00
-13.05000E-03,-16.50217228E+00
-13.02500E-03,-16.34313910E+00
-13.00000E-03,-16.20251323E+00
-12.97500E-03,-16.07575599E+00
