x-axis,1,2,3
second,Volt,Volt,Volt
+24.500E-03,+1.785631E+00,+2.376023E+00,+2.298092E+00
+24.600E-03,+1.789048E+00,+2.374013E+00,+2.298896E+00
+24.700E-03,+1.788144E+00,+2.375320E+00,+2.298695E+00
+24.800E-03,+1.790656E+00,+2.373209E+00,+2.298092E+00
+24.900E-03,+1.788144E+00,+2.368988E+00,+2.298092E+00
+25.000E-03,+1.785631E+00,+2.368988E+00,+2.298092E+00
+25.100E-03,+1.783119E+00,+2.366877E+00,+2.298092E+00
+25.200E-03,+1.780606E+00,+2.364767E+00,+2.298092E+00
+25.300E-03,+1.775581E+00,+2.362656E+00,+2.296836E+00
+25.400E-03,+1.772164E+00,+2.361450E+00,+2.295579E+00
+25.500E-03,+1.765531E+00,+2.356425E+00,+2.295579E+00
+25.600E-03,+1.760305E+00,+2.348586E+00,+2.294373E+00
+25.700E-03,+1.731561E+00,+2.319340E+00,+2.294323E+00
+25.800E-03,+1.688646E+00,+2.275621E+00,+2.293419E+00
+25.900E-03,+1.636787E+00,+2.220948E+00,+2.289851E+00
+26.000E-03,+1.576586E+00,+2.160445E+00,+2.289298E+00
+26.100E-03,+1.516988E+00,+2.097832E+00,+2.287740E+00
+26.200E-03,+1.442717E+00,+2.028184E+00,+2.285630E+00
+26.300E-03,+1.370355E+00,+1.958335E+00,+2.284273E+00
+26.400E-03,+1.313772E+00,+1.895822E+00,+2.284273E+00
+26.500E-03,+1.245430E+00,+1.835320E+00,+2.281760E+00
+26.600E-03,+1.187742E+00,+1.769691E+00,+2.281760E+00
+26.700E-03,+1.126335E+00,+1.712204E+00,+2.280504E+00
+26.800E-03,+1.069953E+00,+1.655822E+00,+2.280504E+00
+26.900E-03,+1.009953E+00,+1.598234E+00,+2.280504E+00
+27.000E-03,+958.998E-03,+1.545370E+00,+2.279248E+00
+27.100E-03,+900.003E-03,+1.484264E+00,+2.279248E+00
+27.200E-03,+834.877E-03,+1.420847E+00,+2.278645E+00
+27.300E-03,+764.928E-03,+1.357430E+00,+2.277992E+00
+27.400E-03,+690.254E-03,+1.279038E+00,+2.277992E+00
+27.500E-03,+624.827E-03,+1.210696E+00,+2.276735E+00
+27.600E-03,+556.887E-03,+1.144867E+00,+2.275680E+00
+27.700E-03,+493.872E-03,+1.078134E+00,+2.275479E+00
+27.800E-03,+438.797E-03,+1.022053E+00,+2.274826E+00
+27.900E-03,+395.983E-03,+980.043E-03,+2.272966E+00
+28.000E-03,+346.938E-03,+932.807E-03,+2.273971E+00
+28.100E-03,+277.289E-03,+865.370E-03,+2.271760E+00
+28.200E-03,+197.591E-03,+790.395E-03,+2.271710E+00
+28.300E-03,+128.646E-03,+714.214E-03,+2.270454E+00
+28.400E-03,+66.134E-03,+655.621E-03,+2.270454E+00
+28.500E-03,+7.239E-03,+596.626E-03,+2.269198E+00
+28.600E-03,-38.389E-03,+548.083E-03,+2.267640E+00
+28.700E-03,-79.092E-03,+509.290E-03,+2.268997E+00
+28.800E-03,-86.228E-03,+499.641E-03,+2.265429E+00
+28.900E-03,-88.741E-03,+497.129E-03,+2.265127E+00
+29.000E-03,-90.248E-03,+492.104E-03,+2.263419E+00
+29.100E-03,-94.871E-03,+488.486E-03,+2.262916E+00
+29.200E-03,-121.002E-03,+464.867E-03,+2.262916E+00
+29.300E-03,-165.324E-03,+419.943E-03,+2.261660E+00
+29.400E-03,-214.067E-03,+367.078E-03,+2.261660E+00
+29.500E-03,-275.675E-03,+309.189E-03,+2.261660E+00
+29.600E-03,-323.112E-03,+261.149E-03,+2.260404E+00
+29.700E-03,-371.253E-03,+212.204E-03,+2.260404E+00
+29.800E-03,-410.248E-03,+171.501E-03,+2.260404E+00
+29.900E-03,-455.072E-03,+123.259E-03,+2.259147E+00
+30.000E-03,-493.263E-03,+77.531E-03,+2.259147E+00
+30.100E-03,-545.726E-03,+32.606E-03,+2.259147E+00
+30.200E-03,-593.163E-03,-13.022E-03,+2.259147E+00
+30.300E-03,-640.399E-03,-58.248E-03,+2.258544E+00
+30.400E-03,-655.876E-03,-73.223E-03,+2.258695E+00
